episode,reward,policy_loss,value_loss
1,10.0,35.71453094482422,37.5579833984375
2,21.0,146.58641052246094,136.77781677246094
3,11.0,37.826385498046875,42.51658630371094
4,28.0,261.4326477050781,223.44593811035156
5,13.0,55.50608825683594,55.45383071899414
6,13.0,50.13286209106445,54.6434326171875
7,14.0,61.83559036254883,61.60531234741211
8,31.0,301.44012451171875,260.2991027832031
9,21.0,139.60360717773438,127.34477233886719
10,31.0,302.2609558105469,256.4532470703125
11,25.0,217.13389587402344,173.1254119873047
12,23.0,158.7086181640625,146.2319793701172
13,14.0,58.00059127807617,55.990901947021484
14,22.0,142.62298583984375,131.6142578125
15,16.0,75.18604278564453,70.38947296142578
16,33.0,319.56036376953125,274.6791687011719
17,19.0,103.6277847290039,95.50118255615234
18,33.0,308.4275817871094,269.89471435546875
19,19.0,119.10637664794922,96.12799072265625
20,37.0,392.6373291015625,328.64801025390625
21,18.0,89.75287628173828,81.22970581054688
22,28.0,218.900146484375,190.22096252441406
23,61.0,983.5615234375,758.1318969726562
24,12.0,46.80860900878906,34.66293716430664
25,35.0,342.70001220703125,282.5281677246094
26,27.0,200.963623046875,168.59518432617188
27,34.0,304.760986328125,264.143310546875
28,48.0,588.5596923828125,489.4418029785156
29,12.0,31.290800094604492,27.652982711791992
30,17.0,79.735595703125,64.47771453857422
31,43.0,507.88873291015625,391.20751953125
32,56.0,767.0480346679688,618.4669799804688
33,28.0,192.7152557373047,169.43283081054688
34,61.0,925.9334716796875,711.0430908203125
35,73.0,1267.2056884765625,956.5385131835938
36,57.0,817.4842529296875,617.5400390625
37,14.0,39.306488037109375,29.338964462280273
38,19.0,83.16873931884766,63.46320724487305
39,62.0,911.0042724609375,703.6727294921875
40,23.0,125.66886138916016,100.12431335449219
41,33.0,250.96701049804688,209.59251403808594
42,38.0,348.2542724609375,269.2817077636719
43,11.0,25.57265281677246,14.555510520935059
44,54.0,666.2088623046875,528.9917602539062
45,34.0,261.1469421386719,208.71400451660156
46,52.0,612.413818359375,480.57159423828125
47,73.0,1151.8319091796875,874.8096313476562
48,31.0,199.13650512695312,167.79974365234375
49,58.0,689.6331176757812,569.9144287109375
50,47.0,478.2298278808594,373.22174072265625
51,88.0,1557.308349609375,1133.0008544921875
52,31.0,183.4885711669922,147.87860107421875
53,65.0,855.7283935546875,667.8630981445312
54,56.0,621.2503051757812,499.7123107910156
55,80.0,1308.7991943359375,935.6910400390625
56,88.0,1433.373046875,1065.2623291015625
57,73.0,1051.1798095703125,771.0022583007812
58,58.0,638.5850219726562,505.406494140625
59,41.0,272.7696838378906,242.21734619140625
60,105.0,1895.432373046875,1355.349609375
61,32.0,166.97918701171875,121.07632446289062
62,52.0,459.9097900390625,374.6630859375
63,74.0,984.2413330078125,716.4948120117188
64,30.0,133.48446655273438,101.33583068847656
65,75.0,984.3330078125,717.8169555664062
66,67.0,763.0140991210938,570.8106079101562
67,91.0,1406.5794677734375,985.598876953125
68,76.0,926.0849609375,716.3928833007812
69,51.0,386.58868408203125,311.5673828125
70,68.0,745.1817626953125,542.6287841796875
71,34.0,123.28372192382812,102.1328353881836
72,73.0,752.927001953125,622.926025390625
73,44.0,258.6289367675781,193.54241943359375
74,17.0,-14.787605285644531,25.314807891845703
