episode,average_reward,average_length
25,39.7,39.7
50,52.9,52.9
75,33.05,33.05
100,61.0,61.0
125,33.9,33.9
150,30.7,30.7
175,22.35,22.35
200,25.8,25.8
225,27.8,27.8
250,44.9,44.9
275,137.3,137.3
300,81.2,81.2
325,54.6,54.6
350,115.85,115.85
375,153.35,153.35
400,183.1,183.1
425,478.15,478.15
450,422.5,422.5
475,31.55,31.55
500,33.3,33.3
525,115.1,115.1
550,500.0,500.0
575,500.0,500.0
600,500.0,500.0
625,500.0,500.0
650,500.0,500.0
675,500.0,500.0
700,10.5,10.5
725,9.35,9.35
750,9.7,9.7
775,9.15,9.15
800,9.5,9.5
825,9.55,9.55
850,9.65,9.65
875,9.3,9.3
900,9.5,9.5
925,9.85,9.85
950,9.7,9.7
975,9.25,9.25
1000,9.5,9.5
