episode,reward,loss
1,27.0,227.10772705078125
2,31.0,290.77001953125
3,16.0,82.2044677734375
4,60.0,972.596923828125
5,15.0,78.58055114746094
6,33.0,315.140625
7,54.0,772.309326171875
8,54.0,735.9287719726562
9,32.0,300.87127685546875
10,60.0,1033.630615234375
11,25.0,193.69223022460938
12,78.0,1510.7823486328125
13,22.0,167.12789916992188
14,79.0,1488.28515625
15,37.0,397.63360595703125
16,35.0,337.8720397949219
17,55.0,777.121337890625
18,65.0,1033.24462890625
19,43.0,504.9382629394531
20,52.0,716.4720458984375
21,42.0,447.50335693359375
22,106.0,2394.647705078125
23,25.0,175.3907928466797
24,29.0,274.1826477050781
25,35.0,317.7049560546875
26,43.0,477.41162109375
27,31.0,256.9363708496094
28,28.0,195.15823364257812
29,25.0,171.0703125
30,60.0,878.2333984375
31,45.0,620.0025024414062
32,30.0,263.64813232421875
33,50.0,638.8687133789062
34,30.0,233.13302612304688
35,31.0,245.05117797851562
36,16.0,82.21187591552734
37,43.0,444.1239013671875
38,25.0,179.19940185546875
39,34.0,271.6324462890625
40,25.0,187.00755310058594
41,30.0,232.3056182861328
42,42.0,455.46954345703125
43,50.0,632.793701171875
44,54.0,723.7955932617188
45,40.0,351.9865417480469
46,39.0,420.72784423828125
47,52.0,597.8423461914062
48,34.0,287.9349670410156
49,38.0,335.89093017578125
50,49.0,560.4271240234375
51,50.0,661.4169921875
52,33.0,311.2178649902344
53,41.0,370.86572265625
54,43.0,450.39300537109375
55,87.0,1557.423095703125
56,50.0,589.9887084960938
57,48.0,566.6560668945312
58,49.0,529.5177612304688
59,35.0,343.17291259765625
60,37.0,371.25396728515625
61,35.0,312.4276428222656
62,24.0,194.6452178955078
63,42.0,447.7108459472656
64,35.0,298.1988525390625
65,21.0,111.06301879882812
66,47.0,458.562255859375
67,38.0,320.78631591796875
68,32.0,228.7438507080078
69,26.0,168.14840698242188
70,34.0,303.0574951171875
71,64.0,883.0671997070312
72,28.0,194.595458984375
73,34.0,265.9210205078125
74,20.0,94.95945739746094
75,28.0,189.3979949951172
76,32.0,249.75140380859375
77,20.0,91.1439208984375
78,43.0,584.2056884765625
79,27.0,171.6080322265625
80,23.0,114.90474700927734
81,36.0,271.64202880859375
82,30.0,227.51416015625
83,36.0,325.0013427734375
84,52.0,637.7099609375
85,23.0,124.53919219970703
86,26.0,152.1973114013672
87,44.0,371.66802978515625
88,38.0,369.38800048828125
89,30.0,195.46932983398438
90,39.0,406.4684143066406
91,31.0,244.63856506347656
92,35.0,317.7667236328125
93,33.0,258.4831237792969
94,35.0,278.338134765625
95,35.0,321.27911376953125
96,65.0,1036.0225830078125
97,37.0,361.19964599609375
98,53.0,598.4895629882812
99,40.0,469.75390625
100,44.0,443.978759765625
101,62.0,821.5176391601562
102,40.0,353.5486145019531
103,84.0,1576.55908203125
104,72.0,1144.9278564453125
105,64.0,852.7264404296875
106,101.0,2054.76953125
107,105.0,2136.047607421875
108,53.0,717.6038818359375
109,36.0,352.2928466796875
110,174.0,5294.4755859375
111,52.0,630.9210205078125
112,42.0,450.0216369628906
113,40.0,408.7748718261719
114,44.0,477.1971435546875
115,40.0,399.7826232910156
116,31.0,264.4339294433594
117,24.0,161.95896911621094
118,46.0,517.073486328125
119,40.0,406.7315979003906
120,28.0,198.38815307617188
121,18.0,97.35364532470703
122,48.0,597.6824951171875
123,36.0,342.2474365234375
124,34.0,278.795166015625
125,25.0,164.9259033203125
126,40.0,399.17779541015625
127,27.0,182.0814208984375
128,24.0,149.53591918945312
129,36.0,355.4931335449219
130,75.0,1179.6993408203125
131,36.0,300.46038818359375
132,57.0,701.7820434570312
133,60.0,794.9283447265625
134,58.0,699.1846923828125
135,55.0,755.3524780273438
136,118.0,2760.858642578125
137,51.0,613.0782470703125
138,116.0,2138.852294921875
139,92.0,1468.6492919921875
140,124.0,2466.76904296875
141,128.0,2404.8056640625
142,74.0,1089.960205078125
143,84.0,999.3302001953125
144,40.0,308.014892578125
145,55.0,547.688232421875
146,39.0,305.3200988769531
147,42.0,347.4487609863281
148,28.0,136.2838592529297
149,35.0,309.6419982910156
150,39.0,332.7321472167969
151,31.0,150.72007751464844
152,37.0,272.608154296875
153,35.0,258.715576171875
