episode,average_reward,average_length
25,30.6,30.6
50,28.45,28.45
75,51.05,51.05
100,47.15,47.15
125,44.1,44.1
150,76.5,76.5
175,85.05,85.05
200,86.25,86.25
225,92.15,92.15
250,108.4,108.4
275,170.75,170.75
300,96.1,96.1
325,141.3,141.3
350,150.55,150.55
375,265.4,265.4
400,184.3,184.3
425,342.2,342.2
450,270.45,270.45
475,345.2,345.2
500,295.0,295.0
525,250.2,250.2
550,412.05,412.05
575,421.05,421.05
600,432.4,432.4
625,456.6,456.6
650,472.35,472.35
675,444.8,444.8
700,358.65,358.65
725,438.6,438.6
750,443.7,443.7
775,473.25,473.25
800,445.25,445.25
825,434.4,434.4
850,462.85,462.85
875,463.8,463.8
900,488.45,488.45
925,449.7,449.7
950,487.0,487.0
975,428.05,428.05
1000,454.45,454.45
