episode,average_reward,average_length
25,26.7,26.7
50,28.55,28.55
75,26.15,26.15
100,27.3,27.3
125,39.0,39.0
150,46.05,46.05
175,44.5,44.5
200,38.45,38.45
225,63.7,63.7
250,78.4,78.4
275,97.8,97.8
300,114.4,114.4
325,153.65,153.65
350,178.85,178.85
375,202.05,202.05
400,299.05,299.05
425,236.9,236.9
450,294.3,294.3
475,367.75,367.75
500,288.45,288.45
525,320.1,320.1
550,324.45,324.45
575,386.1,386.1
600,333.2,333.2
625,372.7,372.7
650,403.55,403.55
675,409.65,409.65
700,410.3,410.3
725,431.8,431.8
750,442.1,442.1
775,426.7,426.7
800,457.9,457.9
825,473.65,473.65
850,423.45,423.45
875,487.85,487.85
900,449.15,449.15
925,468.25,468.25
950,386.25,386.25
975,494.35,494.35
1000,485.55,485.55
1025,485.85,485.85
1050,468.7,468.7
1075,472.65,472.65
1100,497.4,497.4
1125,437.3,437.3
1150,494.45,494.45
1175,495.15,495.15
1200,468.9,468.9
1225,495.3,495.3
1250,496.0,496.0
1275,492.85,492.85
1300,495.55,495.55
1325,495.35,495.35
1350,499.4,499.4
1375,494.2,494.2
1400,480.1,480.1
1425,492.2,492.2
1450,463.0,463.0
1475,479.2,479.2
1500,487.25,487.25
1525,460.65,460.65
1550,492.2,492.2
1575,492.7,492.7
1600,462.7,462.7
1625,494.15,494.15
1650,482.1,482.1
1675,498.3,498.3
1700,500.0,500.0
1725,483.1,483.1
1750,476.9,476.9
1775,469.75,469.75
1800,498.8,498.8
1825,483.3,483.3
1850,489.15,489.15
1875,500.0,500.0
1900,499.35,499.35
1925,500.0,500.0
1950,500.0,500.0
1975,500.0,500.0
2000,500.0,500.0
