episode,total_steps,average_reward,average_length
50,5586,-315.8666879259698,359.05
100,10491,-106.44759303992876,957.75
150,15287,-102.70820202145885,1000.0
200,20274,-302.4625217233066,804.1
250,25277,-286.7864907856854,564.7
300,31866,-129.96562852502342,501.55
350,38351,-231.877099836243,362.2
400,44674,-117.05705930478135,503.4
450,56035,-127.92970858689202,377.5
500,71334,-91.35248293363634,553.05
550,106456,183.72435869548568,730.55
600,135638,124.97023514202479,905.4
650,157642,212.99795416002854,563.4
700,184621,89.8640567463297,729.5
750,214667,162.97987061208894,434.05
800,232525,186.6559922645021,233.65
850,242942,24.69808521108165,141.35
900,251711,50.77713343936081,161.1
950,263104,195.15383748212852,318.6
1000,276818,251.0471155382491,279.45
1050,292213,267.33947053164945,255.35
1100,311451,251.83492796580032,355.7
1150,325457,236.41192038818758,397.65
1200,340342,278.6370068119679,212.9
1250,352551,259.0796898372709,233.6
1300,363696,244.0041434853852,191.4
1350,374566,201.26245466287372,397.0
1400,385811,227.73440601612043,242.85
1450,397640,248.70265994061748,232.5
1500,409141,262.84955736042986,284.3
1550,420996,283.4421885070421,199.55
1600,432225,278.5114689398048,202.95
1650,442392,272.6936479658949,223.6
1700,452632,273.2424898330284,187.1
1750,462824,279.5818390382222,207.25
1800,473202,245.00515578232415,212.2
1850,484422,267.5212996929053,274.45
1900,495662,202.74068408065406,230.4
1950,506830,242.35712492208245,265.35
2000,516971,200.36508819588101,233.75
