episode,total_steps,average_reward,average_length
50,4556,-851.312657654883,120.75
100,10359,-209.87868610584528,584.5
150,14994,-181.5319049767839,394.6
200,20143,-170.63227650289485,632.9
250,25351,-167.35943337666833,471.95
300,30256,-168.56258757158963,332.0
350,35353,-198.77401005107816,374.9
400,40204,-206.11105652644588,295.45
450,45586,-177.84772223836282,293.9
500,51134,-114.84672320553223,894.3
550,58105,-91.75459313858599,705.75
600,71744,-113.32280363588032,630.2
650,108236,166.02107288271765,708.2
700,142119,142.8811348796663,396.95
750,162739,92.72375840559734,441.6
800,195023,224.21549337345732,480.15
850,213352,104.17896547541173,291.6
900,225790,223.45484624206392,190.15
950,236218,229.90551540326132,184.4
1000,248756,252.9947209365226,333.8
1050,265883,178.45907179675726,373.2
1100,285262,189.12954768804076,492.4
1150,298909,236.1793550466303,512.95
1200,310600,273.31258065128725,226.15
1250,321900,254.86813720141026,233.7
1300,334143,275.78124390340946,221.8
1350,344894,230.2350354293776,285.95
1400,357114,259.50788545323405,315.2
1450,369859,276.6876870271492,212.75
1500,383251,261.4348496685025,278.45
1550,396025,272.09147646681737,232.05
1600,407210,283.1423910658223,224.6
1650,419055,275.20361465123153,227.15
1700,429943,274.5145726780353,217.55
1750,440738,270.1648601177765,260.85
1800,452562,275.5997388495047,288.05
1850,464045,255.0349472763915,379.95
1900,475327,260.53759498493775,221.65
1950,486870,280.03873419049614,193.85
2000,497932,280.79055605863005,187.3
