episode,average_reward,average_length
25,16.5,16.5
50,18.8,18.8
75,36.4,36.4
100,66.3,66.3
125,179.3,179.3
150,246.9,246.9
175,60.25,60.25
200,50.45,50.45
225,89.6,89.6
250,200.35,200.35
275,241.35,241.35
300,147.5,147.5
325,92.05,92.05
350,128.85,128.85
375,209.65,209.65
400,485.45,485.45
425,130.3,130.3
450,95.15,95.15
475,116.7,116.7
500,152.3,152.3
525,212.3,212.3
550,189.0,189.0
575,216.1,216.1
600,171.7,171.7
625,222.9,222.9
650,379.55,379.55
675,308.15,308.15
700,500.0,500.0
725,145.0,145.0
750,178.75,178.75
775,209.3,209.3
800,223.15,223.15
825,240.55,240.55
850,175.05,175.05
875,158.1,158.1
900,150.45,150.45
925,140.4,140.4
950,141.85,141.85
975,168.85,168.85
1000,170.15,170.15
