episode,average_reward,average_length
25,24.25,24.25
50,39.8,39.8
75,44.75,44.75
100,53.85,53.85
125,222.75,222.75
150,115.0,115.0
175,123.55,123.55
200,81.2,81.2
225,93.55,93.55
250,240.0,240.0
275,248.05,248.05
300,500.0,500.0
325,151.25,151.25
350,122.2,122.2
375,116.5,116.5
400,136.95,136.95
425,431.35,431.35
450,291.85,291.85
475,52.65,52.65
500,42.9,42.9
525,55.25,55.25
550,99.55,99.55
575,97.95,97.95
600,103.85,103.85
625,102.75,102.75
650,92.55,92.55
675,87.3,87.3
700,80.15,80.15
725,109.55,109.55
750,118.4,118.4
775,64.4,64.4
800,30.7,30.7
825,68.7,68.7
850,105.9,105.9
875,61.1,61.1
900,53.0,53.0
925,82.4,82.4
950,54.25,54.25
975,70.25,70.25
1000,64.2,64.2
