episode,total_steps,average_reward,average_length
10,194,15.1,15.1
20,379,15.1,15.1
30,609,15.1,15.1
40,770,15.1,15.1
50,961,15.1,15.1
60,1168,9.15,9.15
70,1337,11.6,11.6
80,1535,9.4,9.4
90,1721,9.4,9.4
100,1929,9.4,9.4
110,2089,9.4,9.4
120,2257,9.4,9.4
130,2493,9.4,9.4
140,2673,10.1,10.1
150,2795,9.4,9.4
160,2965,10.25,10.25
170,3163,12.1,12.1
180,3394,16.9,16.9
190,3582,18.3,18.3
200,3774,18.75,18.75
210,3988,26.95,26.95
220,4320,91.5,91.5
230,4563,124.4,124.4
240,4823,176.7,176.7
250,5241,457.7,457.7
260,5578,147.35,147.35
270,6221,173.6,173.6
280,6646,144.25,144.25
290,7120,158.85,158.85
300,7751,178.25,178.25
310,8719,161.55,161.55
320,9907,164.1,164.1
330,11327,178.0,178.0
340,13019,171.4,171.4
350,14687,155.0,155.0
360,16532,163.6,163.6
370,18303,185.25,185.25
380,20072,179.2,179.2
390,21924,181.45,181.45
400,23868,181.35,181.35
410,25806,180.85,180.85
420,27753,184.25,184.25
430,29793,250.55,250.55
440,31477,178.1,178.1
450,33113,124.35,124.35
460,34550,130.0,130.0
470,35843,139.15,139.15
480,37001,133.8,133.8
490,38325,113.05,113.05
500,39592,138.2,138.2
510,40670,123.4,123.4
520,41857,125.45,125.45
530,43010,124.7,124.7
540,44197,118.7,118.7
550,45171,102.45,102.45
560,46321,108.25,108.25
570,47428,119.15,119.15
580,48395,91.0,91.0
590,49359,101.7,101.7
600,50391,107.0,107.0
610,51454,123.8,123.8
620,52503,122.5,122.5
630,53567,277.2,277.2
640,54615,117.4,117.4
650,55932,107.85,107.85
660,56795,117.3,117.3
670,58028,75.7,75.7
680,58969,80.65,80.65
690,60020,116.9,116.9
700,61217,222.8,222.8
710,61976,71.0,71.0
720,63552,199.75,199.75
730,65016,173.9,173.9
740,66336,151.8,151.8
750,67545,121.5,121.5
760,68713,111.3,111.3
770,69721,117.55,117.55
780,70858,119.7,119.7
790,72007,114.75,114.75
800,73142,115.2,115.2
810,74281,112.75,112.75
820,75416,113.55,113.55
830,76570,110.0,110.0
840,77711,115.0,115.0
850,78841,114.4,114.4
860,80006,113.9,113.9
870,81138,115.15,115.15
880,82248,113.75,113.75
890,83412,115.0,115.0
900,84500,112.6,112.6
910,85644,114.4,114.4
920,86821,113.3,113.3
930,87974,111.75,111.75
940,89122,118.9,118.9
950,90264,113.9,113.9
960,91436,114.1,114.1
970,92618,120.5,120.5
980,93770,120.2,120.2
990,94988,127.7,127.7
1000,96248,118.6,118.6
