method,checkpoint,mean_reward_across_training_seeds,std_reward_across_training_seeds,mean_success_rate_500
vanilla,best,479.9719999999999,9.945232827842709,0.8939999999999999
vanilla,final,486.154,8.007855143544987,0.8960000000000001
standardized,best,488.758,5.412823292885152,0.9259999999999999
standardized,final,496.0,5.331262514639466,0.9700000000000001
value_baseline,best,485.992,3.707691465049387,0.9019999999999999
value_baseline,final,498.67600000000004,1.2205015362546614,0.986
