episode,average_reward,average_length
25,27.0,27.0
50,36.65,36.65
75,61.7,61.7
100,137.3,137.3
125,98.8,98.8
150,259.9,259.9
175,238.5,238.5
200,248.2,248.2
225,166.95,166.95
250,500.0,500.0
275,477.65,477.65
300,451.7,451.7
325,482.35,482.35
350,491.5,491.5
375,500.0,500.0
400,473.35,473.35
425,496.45,496.45
450,166.7,166.7
475,162.05,162.05
500,120.9,120.9
525,96.45,96.45
550,97.85,97.85
575,110.25,110.25
600,105.85,105.85
625,87.8,87.8
650,93.6,93.6
675,113.65,113.65
700,131.85,131.85
725,149.45,149.45
750,145.0,145.0
775,133.9,133.9
800,117.6,117.6
825,132.55,132.55
850,145.05,145.05
875,137.45,137.45
900,188.55,188.55
925,181.35,181.35
950,286.25,286.25
975,242.7,242.7
1000,250.9,250.9
