episode,average_reward,average_length
25,15.45,15.45
50,21.25,21.25
75,23.15,23.15
100,23.85,23.85
125,26.7,26.7
150,35.8,35.8
175,54.3,54.3
200,50.7,50.7
225,49.0,49.0
250,55.05,55.05
275,67.2,67.2
300,87.25,87.25
325,83.75,83.75
350,145.3,145.3
375,193.75,193.75
400,198.45,198.45
425,301.05,301.05
450,312.9,312.9
475,242.65,242.65
500,323.35,323.35
525,387.25,387.25
550,361.2,361.2
575,290.75,290.75
600,377.5,377.5
625,422.65,422.65
650,343.1,343.1
675,376.8,376.8
700,466.3,466.3
725,477.9,477.9
750,489.6,489.6
775,444.1,444.1
800,477.15,477.15
825,480.55,480.55
850,472.45,472.45
875,481.4,481.4
900,500.0,500.0
925,499.0,499.0
950,476.65,476.65
975,485.85,485.85
1000,474.8,474.8
1025,492.9,492.9
1050,489.25,489.25
1075,490.45,490.45
1100,480.95,480.95
1125,452.7,452.7
1150,480.6,480.6
1175,490.45,490.45
1200,500.0,500.0
1225,498.85,498.85
1250,494.35,494.35
1275,463.85,463.85
1300,487.2,487.2
1325,496.3,496.3
1350,500.0,500.0
1375,500.0,500.0
1400,407.4,407.4
1425,453.85,453.85
1450,463.55,463.55
1475,479.4,479.4
1500,475.45,475.45
1525,500.0,500.0
1550,495.95,495.95
1575,397.95,397.95
1600,497.75,497.75
1625,500.0,500.0
1650,480.25,480.25
1675,496.9,496.9
1700,500.0,500.0
1725,500.0,500.0
1750,500.0,500.0
1775,499.15,499.15
1800,495.35,495.35
1825,500.0,500.0
1850,500.0,500.0
1875,485.5,485.5
1900,497.45,497.45
1925,500.0,500.0
1950,489.45,489.45
1975,500.0,500.0
2000,500.0,500.0
