episode,average_reward,average_length
25,20.1,20.1
50,61.75,61.75
75,51.9,51.9
100,51.45,51.45
125,101.55,101.55
150,133.9,133.9
175,336.95,336.95
200,480.8,480.8
225,500.0,500.0
250,191.15,191.15
275,500.0,500.0
300,441.8,441.8
325,500.0,500.0
350,468.45,468.45
375,439.0,439.0
400,497.75,497.75
425,370.45,370.45
450,500.0,500.0
475,500.0,500.0
500,374.2,374.2
525,380.95,380.95
550,331.0,331.0
575,89.75,89.75
600,113.45,113.45
625,129.05,129.05
650,103.6,103.6
675,102.1,102.1
700,96.75,96.75
725,91.5,91.5
750,97.05,97.05
775,104.85,104.85
800,122.85,122.85
825,123.35,123.35
850,115.35,115.35
875,117.5,117.5
900,135.1,135.1
925,160.55,160.55
950,158.45,158.45
975,180.95,180.95
1000,149.3,149.3
