episode,average_reward,average_length
25,58.85,58.85
50,55.2,55.2
75,60.3,60.3
100,117.55,117.55
125,258.65,258.65
150,140.45,140.45
175,460.85,460.85
200,162.6,162.6
225,202.2,202.2
250,485.05,485.05
275,286.15,286.15
300,247.15,247.15
325,500.0,500.0
350,500.0,500.0
375,213.5,213.5
400,217.5,217.5
425,191.75,191.75
450,151.95,151.95
475,163.15,163.15
500,141.45,141.45
525,189.9,189.9
550,334.65,334.65
575,265.1,265.1
600,500.0,500.0
625,414.4,414.4
650,499.35,499.35
675,500.0,500.0
700,500.0,500.0
725,500.0,500.0
750,500.0,500.0
775,500.0,500.0
800,500.0,500.0
825,500.0,500.0
850,500.0,500.0
875,454.55,454.55
900,390.0,390.0
925,478.4,478.4
950,433.85,433.85
975,500.0,500.0
1000,500.0,500.0
