episode,total_steps,reward,length,mean_loss,epsilon
1,98,-206.08944375035782,98,,0.998157
2,201,-116.88159333960026,103,,0.9962
3,267,-122.59834456737654,66,,0.994946
4,373,-179.08363282749946,106,,0.992932
5,462,-236.65638043490495,89,,0.991241
6,617,-65.7606717077433,155,,0.988296
7,689,-81.40275331829676,72,,0.986928
8,766,-108.09925901800779,77,,0.985465
9,859,-104.84040511583751,93,,0.983698
10,975,-292.5369259990853,116,,0.981494
11,1081,-201.69354164528465,106,131.88871094075645,0.97948
12,1159,-118.1802534976198,78,97.11793648890959,0.977998
13,1236,-109.03320666317804,77,97.04827122099988,0.976535
14,1338,-137.7121968070401,102,119.2982604900996,0.974597
15,1445,-162.37990181239599,107,102.5170366418696,0.972564
16,1535,-411.4035343884134,90,108.708512351248,0.970854
17,1612,-67.3038053411176,77,92.15977674335629,0.969391
18,1700,-223.34492125115622,88,92.07020401683721,0.967719
19,1800,-144.73281338848795,100,113.84073226213455,0.965819
20,1867,-56.36059173374224,67,84.32645515897381,0.964546
21,1942,-101.38323168590567,75,86.75988500277201,0.963121
22,2088,-203.732914276902,146,94.03639726932735,0.960347
23,2188,-223.16081973271707,100,94.05706896543502,0.958447
24,2277,-214.87003463229615,89,100.88243234827277,0.956756
25,2366,-116.30117709088303,89,122.01309556907482,0.955065
26,2468,-177.26673087242523,102,102.64458697449928,0.9531270000000001
27,2603,-218.24336454960562,135,87.23247584766811,0.950562
28,2744,-170.71747000264034,141,88.75286434897295,0.947883
29,2826,-79.84108201208956,82,94.29617289217506,0.946325
30,2923,-104.53841634881955,97,98.4367723071698,0.944482
31,3019,-166.7711205089758,96,83.13393423954646,0.942658
32,3123,-109.59264806355188,104,91.26717445254326,0.940682
33,3229,-82.0392128930234,106,79.87285029213383,0.938668
34,3347,-318.4508038569597,118,88.87509595943709,0.936426
35,3467,-165.67234763956816,120,70.51856131951014,0.934146
36,3538,-113.66997726048939,71,79.36512916860445,0.932797
37,3643,-56.68356935465138,105,76.58875635919117,0.930802
38,3773,-523.8685393040458,130,70.97470470575186,0.928332
39,3838,-84.04792129866158,65,75.25014629730812,0.9270970000000001
40,3917,-182.1213800619707,79,86.27637588223324,0.925596
41,4010,-167.48091436344006,93,78.76210812343064,0.923829
42,4091,-90.7120431769592,81,55.68791544143065,0.92229
43,4153,-116.08653597266391,62,77.23093045142389,0.921112
44,4240,-116.85208656960253,87,51.623941569492736,0.919459
45,4308,-138.44542955020847,68,67.35666661402759,0.918167
46,4396,-76.70970859023318,88,69.86384937438098,0.9164950000000001
47,4507,-111.57738005911867,111,63.90951455176413,0.914386
48,4599,-87.19603182207265,92,60.88665639576705,0.9126380000000001
49,4691,-239.67887600758715,92,68.18413762942605,0.91089
50,4799,-220.39707508856958,108,59.00666956548338,0.908838
51,4921,-267.0244467032761,122,65.16906872635982,0.90652
52,5023,-287.5539913366564,102,66.30136639931622,0.904582
53,5095,-102.52354019577234,72,52.97909802529547,0.903214
54,5184,-221.94617701504666,89,77.19935312431849,0.901523
55,5327,-97.9580493209511,143,65.12342765614703,0.898806
56,5400,-193.77867316193493,73,53.66295781200879,0.897419
57,5465,-121.67265939252128,65,50.600368136626024,0.896184
58,5569,-9.203871385139237,104,60.76401517024407,0.894208
59,5656,-68.17034293835499,87,50.10884207692639,0.892555
60,5728,-85.70194058627389,72,58.65185371372435,0.891187
