episode,total_steps,average_reward,average_length
10,198,12.25,12.25
20,509,12.25,12.25
30,733,12.25,12.25
40,993,12.25,12.25
50,1199,16.0,16.0
60,1411,14.55,14.55
70,1602,9.5,9.5
80,1846,9.4,9.4
90,2007,9.4,9.4
100,2195,17.1,17.1
110,2434,16.8,16.8
120,2618,12.5,12.5
130,2816,28.55,28.55
140,3000,15.85,15.85
150,3231,22.1,22.1
160,3489,31.2,31.2
170,3774,33.8,33.8
180,4066,37.05,37.05
190,4376,100.85,100.85
200,4939,209.1,209.1
210,5524,284.85,284.85
220,6106,196.3,196.3
230,6602,138.55,138.55
240,7465,194.55,194.55
250,8229,252.4,252.4
260,9187,251.75,251.75
270,10809,262.55,262.55
280,13041,248.8,248.8
290,15452,210.2,210.2
300,17879,289.85,289.85
310,20328,276.0,276.0
320,22760,241.0,241.0
330,24898,258.15,258.15
340,27004,227.95,227.95
350,29301,256.7,256.7
360,31310,197.55,197.55
370,33151,142.5,142.5
380,34964,201.7,201.7
390,36781,155.45,155.45
400,38423,132.6,132.6
410,40448,140.0,140.0
420,42089,232.65,232.65
430,43927,209.2,209.2
440,45663,235.6,235.6
450,47063,160.65,160.65
460,48466,162.05,162.05
470,50146,144.65,144.65
480,51543,130.2,130.2
490,52971,131.55,131.55
500,54241,130.2,130.2
510,55590,127.7,127.7
520,56793,132.0,132.0
530,58062,126.25,126.25
540,59343,120.8,120.8
550,60645,127.7,127.7
560,61947,130.2,130.2
570,63234,126.6,126.6
580,64602,130.45,130.45
590,66007,170.35,170.35
600,67406,167.05,167.05
610,68806,130.75,130.75
620,70545,191.9,191.9
630,71976,121.6,121.6
640,73479,134.7,134.7
650,75209,186.6,186.6
660,76873,196.4,196.4
670,78463,194.95,194.95
680,80423,143.05,143.05
690,82017,204.3,204.3
700,84093,189.1,189.1
710,85675,211.2,211.2
720,87312,148.7,148.7
730,88876,155.5,155.5
740,90325,132.6,132.6
750,91963,171.5,171.5
760,93412,122.05,122.05
770,94690,164.4,164.4
780,96137,123.1,123.1
790,97497,149.45,149.45
800,98674,129.0,129.0
810,99960,173.45,173.45
820,101309,135.65,135.65
830,102829,142.6,142.6
840,104172,171.95,171.95
850,105761,424.75,424.75
860,107479,239.2,239.2
870,109256,170.6,170.6
880,111247,188.35,188.35
890,113410,161.9,161.9
900,116270,320.45,320.45
910,119215,444.55,444.55
920,122549,469.9,469.9
930,126852,457.4,457.4
940,130782,500.0,500.0
950,135607,500.0,500.0
960,140607,500.0,500.0
