episode,total_steps,reward,length,mean_loss,epsilon
1,27,27.0,27,,0.9983533333333333
2,46,19.0,19,,0.99715
3,78,32.0,32,,0.9951233333333334
4,87,9.0,9,,0.9945533333333333
5,110,23.0,23,,0.9930966666666666
6,119,9.0,9,,0.9925266666666667
7,149,30.0,30,,0.9906266666666667
8,159,10.0,10,,0.9899933333333333
9,185,26.0,26,,0.9883466666666667
10,198,13.0,13,,0.9875233333333333
11,230,32.0,32,,0.9854966666666667
12,255,25.0,25,,0.9839133333333333
13,292,37.0,37,,0.98157
14,334,42.0,42,,0.97891
15,354,20.0,20,,0.9776433333333333
16,373,19.0,19,,0.97644
17,392,19.0,19,,0.9752366666666666
18,411,19.0,19,,0.9740333333333333
19,453,42.0,42,,0.9713733333333333
20,509,56.0,56,,0.9678266666666666
21,518,9.0,9,,0.9672566666666667
22,528,10.0,10,,0.9666233333333334
23,552,24.0,24,,0.9651033333333333
24,577,25.0,25,,0.96352
25,593,16.0,16,,0.9625066666666666
26,606,13.0,13,,0.9616833333333333
27,628,22.0,22,,0.96029
28,638,10.0,10,,0.9596566666666667
29,671,33.0,33,,0.9575666666666667
30,733,62.0,62,,0.95364
31,760,27.0,27,,0.95193
32,778,18.0,18,,0.95079
33,788,10.0,10,,0.9501566666666666
34,849,61.0,61,,0.9462933333333333
35,874,25.0,25,,0.94471
36,886,12.0,12,,0.94395
37,947,61.0,61,,0.9400866666666666
38,964,17.0,17,,0.93901
39,977,13.0,13,,0.9381866666666667
40,993,16.0,16,,0.9371733333333333
41,1020,27.0,27,0.4850076387325923,0.9354633333333333
42,1054,34.0,34,0.39730414003133774,0.93331
43,1067,13.0,13,0.3393809099992116,0.9324866666666667
44,1087,20.0,20,0.2973118007183075,0.9312199999999999
45,1099,12.0,12,0.26108501354853314,0.93046
46,1123,24.0,24,0.21739394217729568,0.92894
47,1143,20.0,20,0.16801660060882567,0.9276733333333333
48,1155,12.0,12,0.13075585663318634,0.9269133333333334
49,1177,22.0,22,0.10001665229598682,0.92552
50,1199,22.0,22,0.06221599727869034,0.9241266666666667
51,1215,16.0,16,0.04169500060379505,0.9231133333333333
52,1232,17.0,17,0.027347660437226296,0.9220366666666666
53,1246,14.0,14,0.023067304864525795,0.92115
54,1260,14.0,14,0.01990315318107605,0.9202633333333333
55,1283,23.0,23,0.016085907630622388,0.9188066666666667
56,1302,19.0,19,0.014415815845131874,0.9176033333333333
57,1328,26.0,26,0.013949321849005563,0.9159566666666666
58,1350,22.0,22,0.012051823548972607,0.9145633333333334
59,1376,26.0,26,0.010615088843873568,0.9129166666666667
60,1411,35.0,35,0.009054957889020443,0.9107000000000001
61,1423,12.0,12,0.00732498150318861,0.90994
62,1438,15.0,15,0.0053889809641987085,0.90899
63,1475,37.0,37,0.007320452791949113,0.9066466666666667
64,1491,16.0,16,0.0052742898697033525,0.9056333333333333
65,1501,10.0,10,0.00383053463883698,0.905
66,1515,14.0,14,0.005141742527484894,0.9041133333333333
67,1551,36.0,36,0.004359908479576309,0.9018333333333334
68,1566,15.0,15,0.003813497693045065,0.9008833333333334
69,1583,17.0,17,0.004831710481084883,0.8998066666666666
70,1602,19.0,19,0.00546457408927381,0.8986033333333333
71,1680,78.0,78,0.0050496515934355555,0.8936633333333334
72,1692,12.0,12,0.005809590065230926,0.8929033333333334
73,1702,10.0,10,0.005115231033414602,0.89227
74,1727,25.0,25,0.0053645203200479346,0.8906866666666666
75,1769,42.0,42,0.004725133015943522,0.8880266666666666
76,1785,16.0,16,0.005882503231987357,0.8870133333333333
77,1807,22.0,22,0.007667153049260378,0.8856200000000001
78,1825,18.0,18,0.0067269447259604934,0.88448
79,1836,11.0,11,0.008900324193139872,0.8837833333333334
80,1846,10.0,10,0.009799065999686718,0.88315
81,1857,11.0,11,0.007268745607386033,0.8824533333333333
82,1873,16.0,16,0.006170989712700248,0.88144
83,1884,11.0,11,0.008663863564531008,0.8807433333333333
84,1909,25.0,25,0.009274436005701622,0.8791599999999999
85,1921,12.0,12,0.008853887673467398,0.8784
86,1935,14.0,14,0.009191694048543772,0.8775133333333334
87,1944,9.0,9,0.010759205557405949,0.8769433333333333
88,1968,24.0,24,0.010332676271597544,0.8754233333333333
89,1983,15.0,15,0.009829624245564142,0.8744733333333333
90,2007,24.0,24,0.010674968905126056,0.8729533333333334
91,2031,24.0,24,0.010865089949220419,0.8714333333333333
92,2047,16.0,16,0.011040361132472754,0.87042
93,2058,11.0,11,0.010559314085791508,0.8697233333333334
94,2068,10.0,10,0.011503854456047216,0.86909
95,2090,22.0,22,0.013128049857914447,0.8676966666666667
96,2104,14.0,14,0.014232605462893844,0.8668100000000001
97,2137,33.0,33,0.011617093812674284,0.86472
98,2158,21.0,21,0.013526588771492242,0.86339
99,2184,26.0,26,0.01654218416661024,0.8617433333333333
100,2195,11.0,11,0.014261198230087757,0.8610466666666667
101,2217,22.0,22,0.01829481264576316,0.8596533333333334
102,2266,49.0,49,0.014747035961287716,0.85655
103,2308,42.0,42,0.018298429817977278,0.85389
104,2327,19.0,19,0.021149627398699522,0.8526866666666667
105,2340,13.0,13,0.022955222753807902,0.8518633333333333
106,2351,11.0,11,0.017860995139926672,0.8511666666666666
107,2387,36.0,36,0.023016273975372314,0.8488866666666667
108,2399,12.0,12,0.023695034595827263,0.8481266666666667
109,2419,20.0,20,0.02079886794090271,0.84686
110,2434,15.0,15,0.021482158917933702,0.8459099999999999
111,2471,37.0,37,0.015608304801086584,0.8435666666666667
112,2484,13.0,13,0.01678683189675212,0.8427433333333334
113,2495,11.0,11,0.017251434735953808,0.8420466666666666
114,2509,14.0,14,0.02906543668359518,0.84116
115,2533,24.0,24,0.02071039378643036,0.8396399999999999
116,2550,17.0,17,0.024224418681114912,0.8385633333333333
117,2573,23.0,23,0.027624554311235745,0.8371066666666667
118,2587,14.0,14,0.02246382273733616,0.83622
119,2599,12.0,12,0.03320515404144923,0.83546
120,2618,19.0,19,0.031133549846708776,0.8342566666666666
121,2642,24.0,24,0.028854853007942438,0.8327366666666667
122,2655,13.0,13,0.039112297197182976,0.8319133333333333
123,2671,16.0,16,0.024622054304927588,0.8309
124,2702,31.0,31,0.03920952952466905,0.8289366666666667
125,2712,10.0,10,0.028795535986622173,0.8283033333333334
126,2731,19.0,19,0.034323721658438444,0.8271
127,2749,18.0,18,0.027554479986429216,0.82596
128,2780,31.0,31,0.03041102597489953,0.8239966666666667
129,2806,26.0,26,0.03206347534433007,0.82235
130,2816,10.0,10,0.031405482441186905,0.8217166666666667
131,2827,11.0,11,0.04404318518936634,0.82102
132,2842,15.0,15,0.040369581896811724,0.82007
133,2853,11.0,11,0.027351961160699528,0.8193733333333333
134,2883,30.0,30,0.030985794429268156,0.8174733333333334
135,2938,55.0,55,0.03309636350188937,0.81399
136,2949,11.0,11,0.03331757212678591,0.8132933333333333
137,2966,17.0,17,0.03902965039014816,0.8122166666666667
138,2980,14.0,14,0.043599821627140045,0.81133
139,2991,11.0,11,0.032443178817629814,0.8106333333333333
140,3000,9.0,9,0.03158510476350784,0.8100633333333334
141,3016,16.0,16,0.04315889859572053,0.80905
142,3028,12.0,12,0.06892514228820801,0.80829
143,3070,42.0,42,0.04676172062754631,0.8056300000000001
144,3087,17.0,17,0.03427666239440441,0.8045533333333333
145,3109,22.0,22,0.04437185203035673,0.80316
146,3130,21.0,21,0.05006446242332459,0.80183
147,3158,28.0,28,0.041439429723790715,0.8000566666666666
148,3192,34.0,34,0.059277098211977214,0.7979033333333334
149,3210,18.0,18,0.05950753949582577,0.7967633333333334
150,3231,21.0,21,0.04455945380032063,0.7954333333333333
151,3276,45.0,45,0.045126177525768675,0.7925833333333334
152,3299,23.0,23,0.0502913698554039,0.7911266666666668
153,3326,27.0,27,0.03709242732397148,0.7894166666666667
154,3346,20.0,20,0.03785125985741615,0.78815
155,3359,13.0,13,0.05564996848503748,0.7873266666666667
156,3377,18.0,18,0.05537308305501938,0.7861866666666667
157,3401,24.0,24,0.04913096937040488,0.7846666666666666
158,3427,26.0,26,0.06582178392757972,0.78302
159,3460,33.0,33,0.05694946481121911,0.78093
160,3489,29.0,29,0.061497234872409275,0.7790933333333333
161,3513,24.0,24,0.05579447684188684,0.7775733333333333
162,3541,28.0,28,0.05398273521236011,0.7758
163,3568,27.0,27,0.06399495314274516,0.77409
164,3591,23.0,23,0.04943451583385468,0.7726333333333333
165,3613,22.0,22,0.06596603368719418,0.77124
166,3645,32.0,32,0.07634519133716822,0.7692133333333333
167,3698,53.0,53,0.04596054525329517,0.7658566666666666
168,3718,20.0,20,0.0584436871111393,0.76459
169,3754,36.0,36,0.06278414444790946,0.76231
170,3774,20.0,20,0.06101364940404892,0.7610433333333333
171,3790,16.0,16,0.06382938381284475,0.76003
172,3830,40.0,40,0.06618572343140841,0.7574966666666667
173,3868,38.0,38,0.07697172090411186,0.75509
174,3911,43.0,43,0.06836374308913946,0.7523666666666666
175,3927,16.0,16,0.0889034103602171,0.7513533333333333
176,3941,14.0,14,0.07387740071862936,0.7504666666666667
177,3981,40.0,40,0.08447816669940948,0.7479333333333333
178,3991,10.0,10,0.0849640779197216,0.7473000000000001
179,4037,46.0,46,0.0770777336632212,0.7443866666666668
180,4066,29.0,29,0.08121839857527188,0.74255
181,4082,16.0,16,0.060741716995835304,0.7415366666666667
182,4108,26.0,26,0.06514560484460422,0.73989
183,4186,78.0,78,0.08223987841292431,0.73495
184,4202,16.0,16,0.07392022525891662,0.7339366666666667
185,4249,47.0,47,0.06182889205714067,0.73096
186,4279,30.0,30,0.08173099000539098,0.72906
187,4298,19.0,19,0.06445118710398674,0.7278566666666667
188,4339,41.0,41,0.07369086630642414,0.72526
189,4352,13.0,13,0.09451473504304886,0.7244366666666667
