episode,reward,loss
1,27.0,227.10772705078125
2,31.0,293.3753967285156
3,16.0,82.98160552978516
4,87.0,1913.0811767578125
5,28.0,252.4470977783203
6,31.0,280.4192810058594
7,32.0,314.6534118652344
8,90.0,2033.23779296875
9,22.0,163.58543395996094
10,14.0,82.57479095458984
11,21.0,150.51116943359375
12,47.0,612.27978515625
13,20.0,128.69679260253906
14,32.0,323.3147888183594
15,38.0,413.62554931640625
16,64.0,1082.828857421875
17,69.0,1264.8033447265625
18,61.0,1004.39208984375
19,22.0,148.87002563476562
20,30.0,275.375
21,54.0,785.1124267578125
22,41.0,486.433349609375
23,26.0,195.0957794189453
24,81.0,1586.0604248046875
25,60.0,1008.3775024414062
26,31.0,296.7432861328125
27,16.0,86.72914123535156
28,37.0,376.32611083984375
29,29.0,234.53659057617188
30,62.0,988.9454956054688
31,23.0,163.41148376464844
32,41.0,467.34716796875
33,55.0,831.2669067382812
34,22.0,150.6856231689453
35,43.0,527.1028442382812
36,20.0,118.00615692138672
37,34.0,342.032470703125
38,40.0,445.7831115722656
39,33.0,319.16357421875
40,32.0,303.278564453125
41,28.0,206.92913818359375
42,34.0,350.69097900390625
43,33.0,313.0928649902344
44,35.0,330.6384582519531
45,48.0,650.8598022460938
46,45.0,567.9340209960938
47,42.0,483.8493957519531
48,37.0,362.1408386230469
49,36.0,348.40484619140625
50,51.0,701.436767578125
51,17.0,103.6140365600586
52,25.0,172.87435913085938
53,59.0,941.3748168945312
54,69.0,1182.111083984375
55,60.0,993.3557739257812
56,65.0,1074.4892578125
57,38.0,431.10931396484375
58,90.0,1847.748046875
59,90.0,1950.144287109375
60,55.0,751.2799072265625
61,39.0,455.8717956542969
62,28.0,227.4927978515625
63,43.0,497.9405517578125
64,87.0,1749.761962890625
65,54.0,711.0076293945312
66,63.0,989.7758178710938
67,62.0,1045.766845703125
68,69.0,1163.5341796875
69,55.0,740.8805541992188
70,53.0,754.2742309570312
71,90.0,1878.102294921875
72,82.0,1510.92333984375
73,78.0,1435.7269287109375
74,54.0,740.1040649414062
75,69.0,1134.390625
76,129.0,3507.98681640625
77,82.0,1620.4190673828125
78,99.0,2265.30029296875
79,107.0,2516.494140625
80,39.0,501.61505126953125
81,69.0,1177.7923583984375
82,63.0,978.26611328125
83,31.0,296.6019287109375
84,29.0,230.38116455078125
85,47.0,610.1517333984375
86,51.0,695.022216796875
87,46.0,571.8397216796875
88,71.0,1319.4537353515625
89,151.0,4426.5068359375
90,71.0,1212.5257568359375
91,33.0,297.83709716796875
92,119.0,2988.402099609375
93,91.0,1878.864990234375
94,90.0,1821.116455078125
95,131.0,3545.04248046875
96,100.0,2233.85205078125
