episode,average_reward,average_length
25,46.1,46.1
50,45.45,45.45
75,71.15,71.15
100,128.35,128.35
125,185.4,185.4
150,45.75,45.75
175,185.15,185.15
200,413.35,413.35
225,500.0,500.0
250,500.0,500.0
275,485.75,485.75
300,381.95,381.95
325,382.1,382.1
350,474.3,474.3
375,413.15,413.15
400,329.1,329.1
425,382.8,382.8
450,464.9,464.9
475,500.0,500.0
500,500.0,500.0
525,153.35,153.35
550,153.95,153.95
575,155.0,155.0
600,134.35,134.35
625,115.4,115.4
650,122.6,122.6
675,168.8,168.8
700,229.0,229.0
725,246.0,246.0
750,217.2,217.2
775,159.75,159.75
800,202.35,202.35
825,500.0,500.0
850,461.25,461.25
875,281.4,281.4
900,352.2,352.2
925,498.0,498.0
950,500.0,500.0
975,476.15,476.15
1000,372.8,372.8
