episode,reward,policy_loss,value_loss
1,41.0,512.5697021484375,430.3911437988281
2,21.0,144.35784912109375,134.2235565185547
3,27.0,233.31549072265625,208.53875732421875
4,23.0,171.8785858154297,156.69009399414062
5,51.0,765.268798828125,615.8179321289062
6,16.0,92.90771484375,80.20391845703125
7,25.0,198.05401611328125,181.59939575195312
8,14.0,66.6784896850586,64.2234878540039
9,30.0,279.7457580566406,249.2338409423828
10,21.0,145.97311401367188,130.45997619628906
11,48.0,686.4292602539062,555.0293579101562
12,30.0,281.71221923828125,248.0436553955078
13,25.0,196.83470153808594,179.42506408691406
14,40.0,474.5791320800781,407.7893371582031
15,26.0,214.05052185058594,191.685791015625
16,38.0,431.7191162109375,372.2076110839844
17,22.0,157.0550537109375,141.1743927001953
18,13.0,62.14875411987305,52.97235870361328
19,13.0,59.66868591308594,53.75611877441406
20,33.0,332.8817138671875,289.98834228515625
21,41.0,498.6070861816406,420.1976013183594
22,41.0,496.5825500488281,420.9549255371094
23,48.0,662.3289794921875,549.0155029296875
24,21.0,139.7912139892578,128.64947509765625
25,41.0,492.84283447265625,419.82025146484375
26,25.0,194.3556671142578,175.82176208496094
27,27.0,221.92359924316406,201.67822265625
28,19.0,122.03135681152344,105.49122619628906
29,12.0,50.61820983886719,45.127777099609375
30,25.0,192.0115966796875,175.08238220214844
31,27.0,219.54351806640625,201.0386962890625
32,22.0,156.9139404296875,137.00877380371094
33,20.0,125.67583465576172,115.65901184082031
34,61.0,1011.2404174804688,802.7578125
35,34.0,344.10662841796875,300.32891845703125
36,41.0,499.64385986328125,415.0971374511719
37,15.0,76.19439697265625,66.866455078125
38,61.0,998.3837280273438,798.2598876953125
39,23.0,172.19577026367188,147.05775451660156
40,15.0,74.75936126708984,66.47191619873047
41,26.0,207.103515625,184.14146423339844
42,24.0,170.90695190429688,159.4718475341797
43,72.0,1372.4085693359375,1031.4793701171875
44,23.0,158.08872985839844,146.7764892578125
45,48.0,638.7447509765625,538.57470703125
46,50.0,708.3292846679688,575.3674926757812
47,21.0,132.9683837890625,123.1484603881836
48,32.0,299.24481201171875,265.77789306640625
49,40.0,456.2437438964844,391.1349182128906
50,14.0,65.68743133544922,56.109134674072266
51,74.0,1417.9024658203125,1073.6298828125
52,39.0,429.9635314941406,375.32659912109375
53,10.0,34.585205078125,28.574405670166016
54,23.0,168.87060546875,143.04513549804688
55,19.0,111.51942443847656,100.15447998046875
56,16.0,84.0394058227539,71.17305755615234
57,50.0,698.6539306640625,570.4259643554688
58,16.0,85.6734390258789,70.64154815673828
59,29.0,241.6069793701172,219.2333984375
60,26.0,204.9632568359375,178.78533935546875
61,13.0,56.867095947265625,46.82093048095703
62,70.0,1274.6561279296875,978.7305908203125
63,48.0,630.2254028320312,529.5407104492188
64,26.0,198.85238647460938,178.14149475097656
65,64.0,1054.041259765625,842.8082275390625
66,44.0,539.5826416015625,454.6871032714844
67,68.0,1198.4639892578125,930.6275634765625
68,37.0,386.8500671386719,335.3579406738281
69,40.0,443.5556945800781,383.6035461425781
70,88.0,1881.262939453125,1371.6904296875
71,43.0,506.0382995605469,435.3283386230469
72,15.0,70.60316467285156,60.51164627075195
73,13.0,60.44968032836914,44.95663833618164
74,38.0,403.20770263671875,349.0735778808594
75,109.0,2742.74267578125,1846.00146484375
76,21.0,131.1942138671875,115.46517944335938
77,31.0,275.8219909667969,240.18177795410156
78,80.0,1578.1123046875,1185.531005859375
79,14.0,62.27444076538086,50.99565887451172
80,30.0,248.8401641845703,226.13751220703125
81,19.0,115.94861602783203,93.66961669921875
82,80.0,1548.905029296875,1183.365478515625
83,17.0,100.29293823242188,74.5621109008789
84,83.0,1666.082763671875,1245.524169921875
85,59.0,893.244873046875,731.4396362304688
86,57.0,847.1929321289062,688.9058837890625
87,23.0,151.52809143066406,134.79127502441406
88,50.0,660.4853515625,550.7268676757812
89,19.0,110.49150085449219,91.55809783935547
90,65.0,1074.054443359375,850.4205322265625
91,32.0,275.33197021484375,250.42337036132812
92,19.0,106.03474426269531,91.45934295654297
93,45.0,555.5487670898438,457.5203857421875
94,30.0,255.03501892089844,219.50367736816406
95,60.0,887.0665893554688,739.9406127929688
96,123.0,3262.31103515625,2136.169189453125
97,108.0,2677.52783203125,1794.8873291015625
98,104.0,2381.1806640625,1701.29296875
99,35.0,332.4071350097656,289.34417724609375
100,58.0,853.2501831054688,698.4293212890625
101,42.0,491.21697998046875,400.2403869628906
102,30.0,248.29324340820312,216.068359375
103,72.0,1330.90673828125,982.2874145507812
104,16.0,77.99061584472656,61.28228759765625
105,47.0,554.0684204101562,484.9989929199219
106,64.0,1001.0299682617188,815.674560546875
107,25.0,177.93154907226562,150.1289825439453
108,92.0,1952.9388427734375,1417.892578125
109,49.0,615.052734375,517.0623168945312
110,22.0,139.9684600830078,115.79377746582031
111,12.0,42.4691047668457,32.21833038330078
112,101.0,2276.497802734375,1619.74267578125
113,35.0,330.2644348144531,281.263427734375
114,33.0,296.8953552246094,251.8345184326172
115,79.0,1479.175537109375,1128.11962890625
116,28.0,204.45835876464844,184.5369415283203
117,78.0,1419.23876953125,1101.7091064453125
118,50.0,624.3494262695312,530.312744140625
119,35.0,323.70098876953125,280.51263427734375
120,34.0,293.3677978515625,263.6058044433594
121,25.0,167.80783081054688,145.4744415283203
122,60.0,898.8338623046875,720.728271484375
123,134.0,3717.08203125,2335.935546875
124,28.0,208.9611053466797,179.59925842285156
125,29.0,212.14553833007812,193.14013671875
126,30.0,239.31480407714844,207.62661743164062
127,47.0,562.1124877929688,470.78460693359375
128,28.0,196.54440307617188,177.51626586914062
129,49.0,571.4430541992188,504.0351257324219
130,80.0,1497.5609130859375,1131.960205078125
131,54.0,709.6236572265625,599.6766967773438
132,65.0,1029.6268310546875,814.9880981445312
133,59.0,846.976318359375,688.5858764648438
134,46.0,538.481201171875,447.31317138671875
135,30.0,232.75970458984375,200.2567596435547
136,30.0,221.35435485839844,199.7912139892578
137,59.0,841.6983032226562,689.6529541015625
138,53.0,655.359619140625,568.92822265625
139,33.0,278.20672607421875,238.7178497314453
140,57.0,769.44921875,643.4259033203125
141,33.0,273.8917541503906,236.99876403808594
142,93.0,1923.019287109375,1403.1783447265625
143,38.0,354.17333984375,313.80902099609375
144,36.0,342.33154296875,281.8369445800781
145,86.0,1646.0994873046875,1247.3974609375
146,23.0,131.21044921875,116.17279052734375
147,87.0,1655.3857421875,1258.823486328125
148,96.0,2030.67138671875,1462.5391845703125
149,28.0,205.95263671875,171.9270782470703
150,117.0,2863.17919921875,1919.13330078125
151,89.0,1771.667236328125,1303.100341796875
152,67.0,995.7774658203125,836.2219848632812
153,44.0,495.02410888671875,398.5802917480469
154,53.0,732.57470703125,555.4132690429688
155,128.0,3210.47900390625,2149.203369140625
156,27.0,191.87197875976562,151.27606201171875
157,64.0,919.1683349609375,763.1968383789062
158,66.0,980.5398559570312,807.6888427734375
159,45.0,489.87078857421875,413.0239562988281
160,78.0,1423.927001953125,1049.891845703125
161,59.0,787.6307373046875,655.2579345703125
162,19.0,86.41390228271484,71.83868408203125
163,33.0,270.45770263671875,226.93408203125
164,49.0,577.9684448242188,474.7708740234375
165,119.0,2826.875,1926.0430908203125
