episode,average_reward,average_length
25,30.6,30.6
50,28.45,28.45
75,51.05,51.05
100,58.55,58.55
125,43.9,43.9
150,64.85,64.85
175,72.45,72.45
200,74.7,74.7
225,109.1,109.1
250,113.2,113.2
275,158.85,158.85
300,134.65,134.65
325,253.3,253.3
350,234.1,234.1
375,327.1,327.1
400,220.3,220.3
425,287.15,287.15
450,382.55,382.55
475,358.95,358.95
500,381.4,381.4
525,444.7,444.7
550,384.75,384.75
575,457.85,457.85
600,449.25,449.25
625,470.3,470.3
650,480.9,480.9
675,453.75,453.75
700,439.5,439.5
725,465.05,465.05
750,477.1,477.1
775,483.65,483.65
800,466.5,466.5
825,486.05,486.05
850,466.4,466.4
875,489.9,489.9
900,477.45,477.45
925,487.7,487.7
950,492.85,492.85
975,479.85,479.85
1000,499.45,499.45
1025,415.75,415.75
1050,500.0,500.0
1075,475.7,475.7
1100,484.9,484.9
1125,489.45,489.45
1150,500.0,500.0
1175,500.0,500.0
1200,491.1,491.1
1225,480.75,480.75
1250,479.3,479.3
1275,488.3,488.3
1300,401.95,401.95
1325,500.0,500.0
1350,471.8,471.8
1375,491.9,491.9
1400,413.4,413.4
1425,439.9,439.9
1450,500.0,500.0
1475,491.9,491.9
1500,491.1,491.1
1525,500.0,500.0
1550,499.45,499.45
1575,500.0,500.0
1600,431.85,431.85
1625,500.0,500.0
1650,500.0,500.0
1675,478.3,478.3
1700,499.85,499.85
1725,409.0,409.0
1750,500.0,500.0
1775,500.0,500.0
1800,500.0,500.0
1825,489.8,489.8
1850,485.1,485.1
1875,500.0,500.0
1900,500.0,500.0
1925,500.0,500.0
1950,500.0,500.0
1975,500.0,500.0
2000,494.4,494.4
