episode,average_reward,average_length
25,15.45,15.45
50,24.2,24.2
75,23.15,23.15
100,22.8,22.8
125,26.75,26.75
150,28.6,28.6
175,35.5,35.5
200,44.65,44.65
225,46.8,46.8
250,40.15,40.15
275,58.2,58.2
300,64.2,64.2
325,66.45,66.45
350,74.1,74.1
375,121.25,121.25
400,121.1,121.1
425,137.15,137.15
450,188.35,188.35
475,210.4,210.4
500,221.0,221.0
525,184.25,184.25
550,149.8,149.8
575,244.25,244.25
600,252.6,252.6
625,286.6,286.6
650,277.5,277.5
675,310.25,310.25
700,418.05,418.05
725,464.45,464.45
750,433.9,433.9
775,418.0,418.0
800,379.7,379.7
825,330.6,330.6
850,347.45,347.45
875,415.85,415.85
900,348.6,348.6
925,467.8,467.8
950,446.2,446.2
975,449.4,449.4
1000,484.7,484.7
