episode,average_reward,average_length
25,65.35,65.35
50,82.4,82.4
75,106.2,106.2
100,34.95,34.95
125,96.75,96.75
150,61.65,61.65
175,500.0,500.0
200,48.35,48.35
225,99.25,99.25
250,252.4,252.4
275,148.2,148.2
300,248.35,248.35
325,289.6,289.6
350,215.45,215.45
375,225.3,225.3
400,272.45,272.45
425,165.5,165.5
450,223.4,223.4
475,141.2,141.2
500,149.35,149.35
525,311.65,311.65
550,357.2,357.2
575,89.7,89.7
600,81.75,81.75
625,70.4,70.4
650,95.55,95.55
675,107.35,107.35
700,103.8,103.8
725,170.6,170.6
750,231.45,231.45
775,500.0,500.0
800,500.0,500.0
825,500.0,500.0
850,500.0,500.0
875,500.0,500.0
900,14.85,14.85
925,9.3,9.3
950,9.75,9.75
975,9.3,9.3
1000,9.65,9.65
