episode,reward,loss
1,41.0,514.6961059570312
2,21.0,141.9426727294922
3,27.0,228.93893432617188
4,28.0,235.44029235839844
5,59.0,941.6231079101562
6,59.0,920.263427734375
7,46.0,564.079345703125
8,24.0,188.68223571777344
9,85.0,1677.134521484375
10,25.0,211.04913330078125
11,36.0,342.2634582519531
12,40.0,432.66705322265625
13,59.0,901.5538330078125
14,70.0,1206.6005859375
15,57.0,763.89013671875
16,58.0,751.094970703125
17,36.0,312.3155517578125
18,84.0,1673.45361328125
19,79.0,1501.5977783203125
20,44.0,542.3536376953125
21,29.0,256.4515380859375
22,41.0,394.4635009765625
23,33.0,275.16448974609375
24,62.0,904.2879638671875
25,118.0,2807.8212890625
26,38.0,463.94854736328125
27,29.0,186.41534423828125
28,72.0,1163.5482177734375
29,39.0,347.0875549316406
30,49.0,536.4313354492188
31,48.0,538.2407836914062
32,57.0,758.684814453125
33,47.0,531.0023193359375
34,46.0,663.7684326171875
35,44.0,515.1797485351562
36,43.0,573.030517578125
37,45.0,457.7923583984375
38,84.0,1602.130859375
39,44.0,431.46044921875
40,40.0,397.06201171875
41,57.0,672.8666381835938
42,53.0,656.6234130859375
43,75.0,1317.88037109375
44,71.0,1173.497802734375
45,33.0,341.7840881347656
46,26.0,183.40867614746094
47,176.0,5431.82666015625
48,115.0,2580.12744140625
49,73.0,1115.57275390625
50,74.0,1173.7198486328125
51,41.0,435.99749755859375
52,56.0,706.439453125
53,54.0,717.78271484375
54,37.0,333.64874267578125
55,33.0,295.7640075683594
56,62.0,923.7963256835938
57,25.0,213.21963500976562
58,87.0,1658.2445068359375
59,77.0,1390.7003173828125
60,35.0,323.7453308105469
61,104.0,2111.97021484375
62,59.0,758.1090087890625
63,81.0,1541.0946044921875
64,106.0,2149.897705078125
65,145.0,3847.7158203125
66,179.0,5642.53076171875
67,98.0,2266.172607421875
68,220.0,7372.2373046875
69,134.0,3572.087890625
70,126.0,3107.57666015625
71,150.0,4025.02197265625
72,112.0,2411.55419921875
73,188.0,5618.9619140625
74,85.0,1601.6046142578125
75,71.0,1239.0146484375
76,103.0,2136.60693359375
77,81.0,1300.2276611328125
78,94.0,1917.9573974609375
79,100.0,1857.7061767578125
80,84.0,1580.962646484375
