checkpoint_id,environment,selected,episode,seed,reward,length
cartpole_mse_lr0.001_final,CartPole-v1,False,76,1075,297.0,297
cartpole_mse_lr0.001_final,CartPole-v1,False,77,1076,281.0,281
cartpole_mse_lr0.001_final,CartPole-v1,False,78,1077,265.0,265
cartpole_mse_lr0.001_final,CartPole-v1,False,79,1078,234.0,234
cartpole_mse_lr0.001_final,CartPole-v1,False,80,1079,190.0,190
cartpole_mse_lr0.001_final,CartPole-v1,False,81,1080,209.0,209
cartpole_mse_lr0.001_final,CartPole-v1,False,82,1081,239.0,239
cartpole_mse_lr0.001_final,CartPole-v1,False,83,1082,285.0,285
cartpole_mse_lr0.001_final,CartPole-v1,False,84,1083,199.0,199
cartpole_mse_lr0.001_final,CartPole-v1,False,85,1084,271.0,271
cartpole_mse_lr0.001_final,CartPole-v1,False,86,1085,215.0,215
cartpole_mse_lr0.001_final,CartPole-v1,False,87,1086,209.0,209
cartpole_mse_lr0.001_final,CartPole-v1,False,88,1087,211.0,211
cartpole_mse_lr0.001_final,CartPole-v1,False,89,1088,386.0,386
cartpole_mse_lr0.001_final,CartPole-v1,False,90,1089,218.0,218
cartpole_mse_lr0.001_final,CartPole-v1,False,91,1090,248.0,248
cartpole_mse_lr0.001_final,CartPole-v1,False,92,1091,194.0,194
cartpole_mse_lr0.001_final,CartPole-v1,False,93,1092,204.0,204
cartpole_mse_lr0.001_final,CartPole-v1,False,94,1093,216.0,216
cartpole_mse_lr0.001_final,CartPole-v1,False,95,1094,241.0,241
cartpole_mse_lr0.001_final,CartPole-v1,False,96,1095,209.0,209
cartpole_mse_lr0.001_final,CartPole-v1,False,97,1096,215.0,215
cartpole_mse_lr0.001_final,CartPole-v1,False,98,1097,213.0,213
cartpole_mse_lr0.001_final,CartPole-v1,False,99,1098,234.0,234
cartpole_mse_lr0.001_final,CartPole-v1,False,100,1099,219.0,219
cartpole_mse_lr0.0005_best,CartPole-v1,True,1,1000,329.0,329
cartpole_mse_lr0.0005_best,CartPole-v1,True,2,1001,257.0,257
cartpole_mse_lr0.0005_best,CartPole-v1,True,3,1002,323.0,323
cartpole_mse_lr0.0005_best,CartPole-v1,True,4,1003,258.0,258
cartpole_mse_lr0.0005_best,CartPole-v1,True,5,1004,191.0,191
cartpole_mse_lr0.0005_best,CartPole-v1,True,6,1005,226.0,226
cartpole_mse_lr0.0005_best,CartPole-v1,True,7,1006,225.0,225
cartpole_mse_lr0.0005_best,CartPole-v1,True,8,1007,252.0,252
cartpole_mse_lr0.0005_best,CartPole-v1,True,9,1008,201.0,201
cartpole_mse_lr0.0005_best,CartPole-v1,True,10,1009,185.0,185
