episode,average_reward,average_length
25,22.85,22.85
50,34.1,34.1
75,29.05,29.05
100,33.65,33.65
125,36.75,36.75
150,44.05,44.05
175,41.9,41.9
200,52.6,52.6
225,48.25,48.25
250,47.65,47.65
275,75.85,75.85
300,64.5,64.5
325,64.75,64.75
350,90.65,90.65
375,106.35,106.35
400,96.4,96.4
425,108.8,108.8
450,172.05,172.05
475,178.2,178.2
500,210.65,210.65
525,216.25,216.25
550,260.85,260.85
575,257.8,257.8
600,296.45,296.45
625,360.3,360.3
650,300.35,300.35
675,368.25,368.25
700,250.2,250.2
725,416.65,416.65
750,306.95,306.95
775,429.2,429.2
800,418.9,418.9
825,398.75,398.75
850,489.55,489.55
875,467.85,467.85
900,434.45,434.45
925,447.75,447.75
950,467.75,467.75
975,468.0,468.0
1000,479.7,479.7
1025,471.75,471.75
1050,267.65,267.65
1075,481.85,481.85
1100,477.85,477.85
1125,499.5,499.5
1150,472.05,472.05
1175,477.05,477.05
1200,476.8,476.8
1225,474.3,474.3
1250,469.25,469.25
1275,467.5,467.5
1300,494.55,494.55
1325,476.45,476.45
1350,488.3,488.3
1375,469.25,469.25
1400,487.55,487.55
1425,481.15,481.15
1450,500.0,500.0
1475,461.95,461.95
1500,475.65,475.65
1525,489.55,489.55
1550,500.0,500.0
1575,497.3,497.3
1600,487.95,487.95
1625,500.0,500.0
1650,484.15,484.15
1675,490.65,490.65
1700,495.3,495.3
1725,500.0,500.0
1750,500.0,500.0
1775,487.95,487.95
1800,500.0,500.0
1825,410.05,410.05
1850,500.0,500.0
1875,500.0,500.0
1900,500.0,500.0
1925,500.0,500.0
1950,500.0,500.0
1975,500.0,500.0
2000,500.0,500.0
