episode,average_reward,average_length
25,26.95,26.95
50,30.9,30.9
75,39.8,39.8
100,47.9,47.9
125,44.8,44.8
150,47.1,47.1
175,47.0,47.0
200,59.7,59.7
225,54.25,54.25
250,78.75,78.75
275,87.5,87.5
300,112.7,112.7
325,126.7,126.7
350,136.4,136.4
375,165.3,165.3
400,224.25,224.25
425,241.2,241.2
450,252.8,252.8
475,310.1,310.1
500,209.65,209.65
525,316.9,316.9
550,336.45,336.45
575,308.3,308.3
600,405.0,405.0
625,449.65,449.65
650,456.85,456.85
675,484.85,484.85
700,452.2,452.2
725,470.7,470.7
750,453.7,453.7
775,453.6,453.6
800,463.5,463.5
825,382.75,382.75
850,413.3,413.3
875,367.95,367.95
900,451.35,451.35
925,373.4,373.4
950,465.0,465.0
975,436.55,436.55
1000,474.35,474.35
1025,457.05,457.05
1050,407.2,407.2
1075,428.3,428.3
1100,454.55,454.55
1125,447.25,447.25
1150,500.0,500.0
1175,480.85,480.85
1200,355.85,355.85
1225,491.4,491.4
1250,463.3,463.3
1275,480.05,480.05
1300,480.2,480.2
1325,474.9,474.9
1350,494.35,494.35
1375,500.0,500.0
1400,480.8,480.8
1425,481.35,481.35
1450,465.8,465.8
1475,486.95,486.95
1500,442.35,442.35
1525,491.65,491.65
1550,498.05,498.05
1575,480.75,480.75
1600,481.9,481.9
1625,489.3,489.3
1650,461.9,461.9
1675,456.5,456.5
1700,483.15,483.15
1725,474.95,474.95
1750,479.05,479.05
1775,500.0,500.0
1800,500.0,500.0
1825,500.0,500.0
1850,500.0,500.0
1875,500.0,500.0
1900,500.0,500.0
1925,489.4,489.4
1950,490.8,490.8
1975,469.85,469.85
2000,492.8,492.8
