episode,reward,policy_loss
1,41.0,0.10278785228729248
2,21.0,-0.21519288420677185
3,27.0,-0.008992612361907959
4,23.0,0.0033200085163116455
5,51.0,0.46795588731765747
6,16.0,-0.4769665002822876
7,15.0,-0.42637598514556885
8,22.0,-0.15906402468681335
9,30.0,-0.0012788772583007812
10,59.0,-1.375203251838684
11,46.0,0.34081539511680603
12,44.0,-0.0822533667087555
13,22.0,-0.09974393248558044
14,16.0,-0.3368902802467346
15,25.0,-0.09054678678512573
16,19.0,-0.08533734083175659
17,17.0,-0.23385930061340332
18,63.0,-0.10505996644496918
19,20.0,-0.3368106186389923
20,9.0,-0.22425830364227295
21,37.0,0.10098510980606079
22,14.0,-0.23739057779312134
23,43.0,0.01933842897415161
24,12.0,-0.25995132327079773
25,23.0,-0.36337631940841675
26,32.0,0.17132490873336792
27,11.0,-0.07884299755096436
28,18.0,-0.2651239037513733
29,32.0,-0.2955896258354187
30,10.0,-0.7684908509254456
31,16.0,0.14342528581619263
32,19.0,-0.3799091875553131
33,21.0,0.22651329636573792
34,24.0,0.4171797037124634
35,14.0,2.2303876876831055
36,39.0,-0.3420698046684265
37,25.0,-0.5002017617225647
38,18.0,-0.7079837322235107
39,30.0,-0.8957884311676025
40,34.0,-1.1029770374298096
41,17.0,-1.2123945951461792
42,17.0,-0.20482251048088074
43,15.0,0.17922918498516083
44,57.0,-0.4443720877170563
45,36.0,-0.17208707332611084
46,19.0,-0.2900645434856415
47,18.0,-1.9227499961853027
48,17.0,-0.9868576526641846
49,32.0,0.15801364183425903
50,14.0,-1.1902780532836914
51,15.0,0.10792119055986404
52,36.0,-0.913068950176239
53,40.0,0.07512438297271729
54,20.0,0.05001436173915863
55,18.0,-1.321131944656372
56,71.0,0.2711836099624634
57,22.0,-0.6755902767181396
58,26.0,-0.09981274604797363
59,15.0,1.3138129711151123
60,19.0,-0.22202017903327942
61,29.0,-0.38857537508010864
62,89.0,-0.2670851945877075
63,44.0,-0.04298412799835205
64,15.0,0.6808841228485107
65,71.0,-2.2700443267822266
66,18.0,0.3704489469528198
67,74.0,0.013227701187133789
68,50.0,0.042754292488098145
69,39.0,0.3950856328010559
70,30.0,-2.2476842403411865
71,73.0,-0.6870414614677429
72,36.0,0.4384955167770386
73,23.0,0.6227144002914429
74,21.0,0.01756921410560608
75,36.0,-0.12136787176132202
76,26.0,0.4803816080093384
77,62.0,-7.797621726989746
78,30.0,0.17256030440330505
79,21.0,0.39699339866638184
80,14.0,0.07638037204742432
81,19.0,0.8143718242645264
82,81.0,-0.9704239368438721
83,70.0,0.9462852478027344
84,44.0,-0.4167531132698059
85,23.0,-0.043475836515426636
86,55.0,-0.7201969027519226
87,61.0,0.5168524980545044
88,26.0,0.3134918808937073
89,71.0,-1.148667812347412
90,48.0,-0.4596658945083618
91,12.0,0.5406284332275391
92,45.0,0.21593832969665527
93,38.0,-0.3367775082588196
94,34.0,-1.8485044240951538
95,98.0,-0.37358689308166504
96,22.0,1.2402503490447998
97,61.0,-0.7086407542228699
