episode,average_reward,average_length
25,23.75,23.75
50,27.15,27.15
75,26.1,26.1
100,27.1,27.1
125,33.8,33.8
150,51.95,51.95
175,55.5,55.5
200,80.4,80.4
225,66.3,66.3
250,106.45,106.45
275,134.7,134.7
300,173.55,173.55
325,188.25,188.25
350,213.15,213.15
375,158.9,158.9
400,223.15,223.15
425,241.8,241.8
450,316.5,316.5
475,346.9,346.9
500,303.35,303.35
525,366.6,366.6
550,431.15,431.15
575,389.0,389.0
600,418.25,418.25
625,449.0,449.0
650,478.95,478.95
675,450.5,450.5
700,418.85,418.85
725,460.05,460.05
750,422.15,422.15
775,473.0,473.0
800,416.7,416.7
825,447.65,447.65
850,487.85,487.85
875,434.7,434.7
900,483.9,483.9
925,477.0,477.0
950,492.0,492.0
975,500.0,500.0
1000,499.4,499.4
1025,500.0,500.0
1050,499.3,499.3
1075,493.5,493.5
1100,500.0,500.0
1125,490.65,490.65
1150,499.7,499.7
1175,500.0,500.0
1200,484.95,484.95
1225,500.0,500.0
1250,494.5,494.5
1275,500.0,500.0
1300,500.0,500.0
1325,500.0,500.0
1350,481.65,481.65
1375,500.0,500.0
1400,500.0,500.0
1425,500.0,500.0
1450,496.95,496.95
1475,496.35,496.35
1500,500.0,500.0
1525,497.65,497.65
1550,500.0,500.0
1575,500.0,500.0
1600,490.0,490.0
1625,486.5,486.5
1650,500.0,500.0
1675,500.0,500.0
1700,500.0,500.0
1725,500.0,500.0
1750,493.0,493.0
1775,500.0,500.0
1800,481.75,481.75
1825,500.0,500.0
1850,500.0,500.0
1875,500.0,500.0
1900,486.75,486.75
1925,499.9,499.9
1950,500.0,500.0
1975,500.0,500.0
2000,500.0,500.0
