episode,average_reward,average_length
25,15.45,15.45
50,24.2,24.2
75,23.15,23.15
100,22.8,22.8
125,26.75,26.75
150,28.6,28.6
175,35.5,35.5
200,44.65,44.65
225,46.8,46.8
250,40.15,40.15
275,58.2,58.2
300,64.2,64.2
325,66.45,66.45
350,74.1,74.1
375,121.25,121.25
400,121.1,121.1
425,137.15,137.15
450,188.35,188.35
475,210.4,210.4
500,221.0,221.0
525,184.25,184.25
550,149.8,149.8
575,244.25,244.25
600,252.6,252.6
625,286.6,286.6
650,277.5,277.5
675,310.25,310.25
700,418.05,418.05
725,464.45,464.45
750,433.9,433.9
775,418.0,418.0
800,379.7,379.7
825,330.6,330.6
850,347.45,347.45
875,415.85,415.85
900,348.6,348.6
925,467.8,467.8
950,446.2,446.2
975,449.4,449.4
1000,484.7,484.7
1025,427.35,427.35
1050,464.2,464.2
1075,464.8,464.8
1100,469.5,469.5
1125,470.7,470.7
1150,470.95,470.95
1175,363.2,363.2
1200,433.6,433.6
1225,469.65,469.65
1250,441.45,441.45
1275,484.6,484.6
1300,473.55,473.55
1325,468.3,468.3
1350,482.25,482.25
1375,478.5,478.5
1400,480.5,480.5
1425,489.45,489.45
1450,486.8,486.8
1475,484.1,484.1
1500,472.25,472.25
1525,469.15,469.15
1550,472.05,472.05
1575,495.5,495.5
1600,452.8,452.8
1625,494.45,494.45
1650,485.8,485.8
1675,473.85,473.85
1700,386.15,386.15
1725,448.95,448.95
1750,421.45,421.45
1775,500.0,500.0
1800,489.15,489.15
1825,446.6,446.6
1850,446.4,446.4
1875,459.5,459.5
1900,500.0,500.0
1925,500.0,500.0
1950,476.1,476.1
1975,483.5,483.5
2000,495.9,495.9
