episode,average_reward,average_length
25,25.15,25.15
50,25.25,25.25
75,24.3,24.3
100,35.05,35.05
125,50.95,50.95
150,46.05,46.05
175,59.75,59.75
200,63.4,63.4
225,61.1,61.1
250,88.1,88.1
275,126.35,126.35
300,122.6,122.6
325,168.6,168.6
350,159.8,159.8
375,182.1,182.1
400,200.8,200.8
425,244.9,244.9
450,230.45,230.45
475,360.6,360.6
500,305.55,305.55
525,393.45,393.45
550,431.65,431.65
575,240.2,240.2
600,277.6,277.6
625,346.5,346.5
650,441.05,441.05
675,451.55,451.55
700,459.0,459.0
725,443.35,443.35
750,434.9,434.9
775,463.8,463.8
800,490.25,490.25
825,411.25,411.25
850,458.65,458.65
875,453.3,453.3
900,469.65,469.65
925,466.3,466.3
950,484.55,484.55
975,493.9,493.9
1000,471.35,471.35
1025,364.7,364.7
1050,500.0,500.0
1075,487.5,487.5
1100,500.0,500.0
1125,500.0,500.0
1150,479.6,479.6
1175,490.6,490.6
1200,437.35,437.35
1225,495.8,495.8
1250,481.35,481.35
1275,500.0,500.0
1300,500.0,500.0
1325,489.1,489.1
1350,470.85,470.85
1375,489.95,489.95
1400,500.0,500.0
1425,493.65,493.65
1450,500.0,500.0
1475,500.0,500.0
1500,439.7,439.7
1525,500.0,500.0
1550,486.35,486.35
1575,496.75,496.75
1600,500.0,500.0
1625,480.45,480.45
1650,494.45,494.45
1675,500.0,500.0
1700,500.0,500.0
1725,498.85,498.85
1750,500.0,500.0
1775,500.0,500.0
1800,500.0,500.0
1825,500.0,500.0
1850,500.0,500.0
1875,494.55,494.55
1900,487.55,487.55
1925,482.8,482.8
1950,500.0,500.0
1975,398.45,398.45
2000,497.75,497.75
