episode,total_steps,reward,length,mean_loss,epsilon
1,20,20.0,20,,0.9987966666666667
2,42,22.0,22,,0.9974033333333333
3,69,27.0,27,,0.9956933333333333
4,110,41.0,41,,0.9930966666666666
5,123,13.0,13,,0.9922733333333333
6,145,22.0,22,,0.99088
7,165,20.0,20,,0.9896133333333333
8,185,20.0,20,,0.9883466666666667
9,196,11.0,11,,0.98765
10,240,44.0,44,,0.9848633333333333
11,260,20.0,20,,0.9835966666666667
12,300,40.0,40,,0.9810633333333333
13,318,18.0,18,,0.9799233333333334
14,378,60.0,60,,0.9761233333333333
15,422,44.0,44,,0.9733366666666666
16,437,15.0,15,,0.9723866666666666
17,455,18.0,18,,0.9712466666666667
18,468,13.0,13,,0.9704233333333333
19,483,15.0,15,,0.9694733333333333
20,493,10.0,10,,0.96884
21,505,12.0,12,,0.96808
22,524,19.0,19,,0.9668766666666667
23,547,23.0,23,,0.96542
24,565,18.0,18,,0.96428
25,581,16.0,16,,0.9632666666666667
26,600,19.0,19,,0.9620633333333334
27,621,21.0,21,,0.9607333333333333
28,671,50.0,50,,0.9575666666666667
29,692,21.0,21,,0.9562366666666666
30,705,13.0,13,,0.9554133333333333
31,717,12.0,12,,0.9546533333333334
32,728,11.0,11,,0.9539566666666667
33,752,24.0,24,,0.9524366666666667
34,766,14.0,14,,0.95155
35,789,23.0,23,,0.9500933333333333
36,867,78.0,78,,0.9451533333333333
37,893,26.0,26,,0.9435066666666667
38,928,35.0,35,,0.94129
39,939,11.0,11,,0.9405933333333334
40,959,20.0,20,,0.9393266666666666
41,992,33.0,33,,0.9372366666666667
42,1035,43.0,43,0.45083916187286377,0.9345133333333333
43,1056,21.0,21,0.3600405901670456,0.9331833333333334
44,1089,33.0,33,0.2908944822847843,0.9310933333333333
45,1113,24.0,24,0.22896846880515417,0.9295733333333334
46,1133,20.0,20,0.18501682877540587,0.9283066666666666
47,1156,23.0,23,0.14281440526247025,0.92685
48,1170,14.0,14,0.11472021043300629,0.9259633333333334
49,1205,35.0,35,0.08005920218096839,0.9237466666666667
50,1230,25.0,25,0.051407896603147187,0.9221633333333333
51,1247,17.0,17,0.04081543069332838,0.9210866666666667
52,1273,26.0,26,0.03632108148719583,0.91944
53,1343,70.0,70,0.025664069525459233,0.9150066666666666
54,1358,15.0,15,0.02566934609785676,0.9140566666666666
55,1372,14.0,14,0.025167936459183693,0.91317
56,1383,11.0,11,0.02122490294277668,0.9124733333333334
57,1394,11.0,11,0.025845444450775783,0.9117766666666667
58,1420,26.0,26,0.023348371631332805,0.91013
59,1452,32.0,32,0.018004805082455277,0.9081033333333334
60,1479,27.0,27,0.01656576634074251,0.9063933333333334
61,1510,31.0,31,0.01448428793810308,0.9044300000000001
62,1521,11.0,11,0.018737072125077248,0.9037333333333334
63,1538,17.0,17,0.016577091766521335,0.9026566666666667
64,1563,25.0,25,0.01526476675644517,0.9010733333333334
65,1594,31.0,31,0.013621991383843124,0.89911
66,1612,18.0,18,0.01185202170163393,0.89797
