episode,average_reward,average_length
25,17.7,17.7
50,21.5,21.5
75,27.4,27.4
100,22.3,22.3
125,24.35,24.35
150,27.7,27.7
175,35.6,35.6
200,35.7,35.7
225,34.75,34.75
250,45.05,45.05
275,48.25,48.25
300,50.1,50.1
325,48.6,48.6
350,58.1,58.1
375,83.45,83.45
400,103.2,103.2
425,140.1,140.1
450,168.0,168.0
475,237.4,237.4
500,196.55,196.55
525,258.35,258.35
550,245.75,245.75
575,294.3,294.3
600,225.2,225.2
625,300.55,300.55
650,407.95,407.95
675,398.1,398.1
700,416.35,416.35
725,454.25,454.25
750,427.8,427.8
775,467.45,467.45
800,450.7,450.7
825,468.9,468.9
850,411.9,411.9
875,488.4,488.4
900,461.7,461.7
925,475.55,475.55
950,479.95,479.95
975,484.4,484.4
1000,469.0,469.0
1025,383.55,383.55
1050,434.0,434.0
1075,471.8,471.8
1100,459.95,459.95
1125,500.0,500.0
1150,483.65,483.65
1175,496.1,496.1
1200,480.95,480.95
1225,481.35,481.35
1250,500.0,500.0
1275,461.0,461.0
1300,487.75,487.75
1325,447.3,447.3
1350,471.2,471.2
1375,478.65,478.65
1400,482.95,482.95
1425,486.95,486.95
1450,473.35,473.35
1475,482.3,482.3
1500,484.95,484.95
1525,481.65,481.65
1550,500.0,500.0
1575,498.6,498.6
1600,473.85,473.85
1625,500.0,500.0
1650,500.0,500.0
1675,500.0,500.0
1700,500.0,500.0
1725,495.4,495.4
1750,493.2,493.2
1775,494.7,494.7
1800,500.0,500.0
1825,500.0,500.0
1850,500.0,500.0
1875,491.8,491.8
1900,478.95,478.95
1925,500.0,500.0
1950,500.0,500.0
1975,500.0,500.0
2000,500.0,500.0
